Year,UNIT_MEASURE,Тип,Value
a)Јануар 2019,CUR_NAC,Просјечна мјесечна бруто плата,1408
b)Фебруар 2019,CUR_NAC,Просјечна мјесечна бруто плата,1378
c)Март 2019,CUR_NAC,Просјечна мјесечна бруто плата,1397
d)Април 2019,CUR_NAC,Просјечна мјесечна бруто плата,1413
e)Мај 2019,CUR_NAC,Просјечна мјесечна бруто плата,1430
f)Јун 2019,CUR_NAC,Просјечна мјесечна бруто плата,1404
g)Јул 2019,CUR_NAC,Просјечна мјесечна бруто плата,1439
h)Август 2019,CUR_NAC,Просјечна мјесечна бруто плата,1429
i)Септембар 2019,CUR_NAC,Просјечна мјесечна бруто плата,1415
j)Октобар 2019,CUR_NAC,Просјечна мјесечна бруто плата,1440
k)Новембар 2019,CUR_NAC,Просјечна мјесечна бруто плата,1433
l)Децембар 2019,CUR_NAC,Просјечна мјесечна бруто плата,1470
m)Јануар 2020,CUR_NAC,Просјечна мјесечна бруто плата,1460
n)Фебруар 2020,CUR_NAC,Просјечна мјесечна бруто плата,1452
o)Март 2020,CUR_NAC,Просјечна мјесечна бруто плата,1466
p)Април 2020,CUR_NAC,Просјечна мјесечна бруто плата,1454
q)Мај 2020,CUR_NAC,Просјечна мјесечна бруто плата,1450
r)Јун 2020,CUR_NAC,Просјечна мјесечна бруто плата,1475
s)Јул 2020,CUR_NAC,Просјечна мјесечна бруто плата,1492
t)Август 2020,CUR_NAC,Просјечна мјесечна бруто плата,1472
u)Септембар 2020,CUR_NAC,Просјечна мјесечна бруто плата,1485
v)Октобар 2020,CUR_NAC,Просјечна мјесечна бруто плата,1485
w)Новембар 2020,CUR_NAC,Просјечна мјесечна бруто плата,1493
x)Децембар 2020,CUR_NAC,Просјечна мјесечна бруто плата,1526
y)Јануар 2021,CUR_NAC,Просјечна мјесечна бруто плата,1504
z)Фебруар 2021,CUR_NAC,Просјечна мјесечна бруто плата,1490
a)Јануар 2019,CUR_NAC,Просјечна мјесечна исплаћена нето плата,913
b)Фебруар 2019,CUR_NAC,Просјечна мјесечна исплаћена нето плата,895
c)Март 2019,CUR_NAC,Просјечна мјесечна исплаћена нето плата,907
d)Април 2019,CUR_NAC,Просјечна мјесечна исплаћена нето плата,916
e)Мај 2019,CUR_NAC,Просјечна мјесечна исплаћена нето плата,926
f)Јун 2019,CUR_NAC,Просјечна мјесечна исплаћена нето плата,910
g)Јул 2019,CUR_NAC,Просјечна мјесечна исплаћена нето плата,932
h)Август 2019,CUR_NAC,Просјечна мјесечна исплаћена нето плата,925
i)Септембар 2019,CUR_NAC,Просјечна мјесечна исплаћена нето плата,916
j)Октобар 2019,CUR_NAC,Просјечна мјесечна исплаћена нето плата,932
k)Новембар 2019,CUR_NAC,Просјечна мјесечна исплаћена нето плата,928
l)Децембар 2019,CUR_NAC,Просјечна мјесечна исплаћена нето плата,951
m)Јануар 2020,CUR_NAC,Просјечна мјесечна исплаћена нето плата,945
n)Фебруар 2020,CUR_NAC,Просјечна мјесечна исплаћена нето плата,941
o)Март 2020,CUR_NAC,Просјечна мјесечна исплаћена нето плата,950
p)Април 2020,CUR_NAC,Просјечна мјесечна исплаћена нето плата,942
q)Мај 2020,CUR_NAC,Просјечна мјесечна исплаћена нето плата,940
r)Јун 2020,CUR_NAC,Просјечна мјесечна исплаћена нето плата,955
s)Јул 2020,CUR_NAC,Просјечна мјесечна исплаћена нето плата,965
t)Август 2020,CUR_NAC,Просјечна мјесечна исплаћена нето плата,953
u)Септембар 2020,CUR_NAC,Просјечна мјесечна исплаћена нето плата,962
v)Октобар 2020,CUR_NAC,Просјечна мјесечна исплаћена нето плата,961
w)Новембар 2020,CUR_NAC,Просјечна мјесечна исплаћена нето плата,966
x)Децембар 2020,CUR_NAC,Просјечна мјесечна исплаћена нето плата,988
y)Јануар 2021,CUR_NAC,Просјечна мјесечна исплаћена нето плата,969
z)Фебруар 2021,CUR_NAC,Просјечна мјесечна исплаћена нето плата,961
