Year,SERIES,UNIT_MEASURE,AGE,SEX,Value,,,,,,,,,
2015,SE_PRE_PARTN,PT,Y5,_T,33.2,,,,,,,,,
2016,SE_PRE_PARTN,PT,Y5,_T,33.6,,,,,,,,,
2017,SE_PRE_PARTN,PT,Y5,_T,39.2,,,,,,,,,
2018,SE_PRE_PARTN,PT,Y5,_T,43.3,,,,,,,,,
2019,SE_PRE_PARTN,PT,Y5,_T,41.3,,,,,,,,,
2020,SE_PRE_PARTN,PT,Y5,_T,49.3,,,,,,,,,
2021,SE_PRE_PARTN,PT,Y5,_T,11.4,,,,,,,,,
2015,SE_PRE_PARTN,PT,Y5,M,32.9,,,,,,,,,
2016,SE_PRE_PARTN,PT,Y5,M,34.4,,,,,,,,,
2017,SE_PRE_PARTN,PT,Y5,M,39.6,,,,,,,,,
2018,SE_PRE_PARTN,PT,Y5,M,43.4,,,,,,,,,
2019,SE_PRE_PARTN,PT,Y5,M,40.4,,,,,,,,,
2020,SE_PRE_PARTN,PT,Y5,M,39.6,,,,,,,,,
2021,SE_PRE_PARTN,PT,Y5,M,11.8,,,,,,,,,
2015,SE_PRE_PARTN,PT,Y5,F,33.5,,,,,,,,,
2016,SE_PRE_PARTN,PT,Y5,F,32.8,,,,,,,,,
2017,SE_PRE_PARTN,PT,Y5,F,38.8,,,,,,,,,
2018,SE_PRE_PARTN,PT,Y5,F,43.2,,,,,,,,,
2019,SE_PRE_PARTN,PT,Y5,F,42.3,,,,,,,,,
2020,SE_PRE_PARTN,PT,Y5,F,41.0,,,,,,,,,
2021,SE_PRE_PARTN,PT,Y5,F,11.0,,,,,,,,,
2015,SE_PRE_PARTN,PT,Y0T6,_T,14.9,,,,,,,,,
2016,SE_PRE_PARTN,PT,Y0T6,_T,16.7,,,,,,,,,
2017,SE_PRE_PARTN,PT,Y0T6,_T,17.6,,,,,,,,,
2018,SE_PRE_PARTN,PT,Y0T6,_T,21.4,,,,,,,,,
2019,SE_PRE_PARTN,PT,Y0T6,_T,23.2,,,,,,,,,
2020,SE_PRE_PARTN,PT,Y0T6,_T,20.0,,,,,,,,,
2021,SE_PRE_PARTN,PT,Y0T6,_T,25.2,,,,,,,,,
2015,SE_PRE_PARTN,PT,Y0T6,M,15.0,,,,,,,,,
2016,SE_PRE_PARTN,PT,Y0T6,M,17.0,,,,,,,,,
2017,SE_PRE_PARTN,PT,Y0T6,M,17.6,,,,,,,,,
2018,SE_PRE_PARTN,PT,Y0T6,M,21.5,,,,,,,,,
2019,SE_PRE_PARTN,PT,Y0T6,M,23.1,,,,,,,,,
2020,SE_PRE_PARTN,PT,Y0T6,M,19.9,,,,,,,,,
2021,SE_PRE_PARTN,PT,Y0T6,M,25.0,,,,,,,,,
2015,SE_PRE_PARTN,PT,Y0T6,F,14.7,,,,,,,,,
2016,SE_PRE_PARTN,PT,Y0T6,F,16.5,,,,,,,,,
2017,SE_PRE_PARTN,PT,Y0T6,F,17.5,,,,,,,,,
2018,SE_PRE_PARTN,PT,Y0T6,F,21.2,,,,,,,,,
2019,SE_PRE_PARTN,PT,Y0T6,F,23.4,,,,,,,,,
2020,SE_PRE_PARTN,PT,Y0T6,F,20.1,,,,,,,,,
2021,SE_PRE_PARTN,PT,Y0T6,F,25.3,,,,,,,,,
2015,SE_PRE_PARTN,PT,Y4T6,_T,28.1,,,,,,,,,
2016,SE_PRE_PARTN,PT,Y4T6,_T,29.4,,,,,,,,,
2017,SE_PRE_PARTN,PT,Y4T6,_T,31.9,,,,,,,,,
2018,SE_PRE_PARTN,PT,Y4T6,_T,44.7,,,,,,,,,
2019,SE_PRE_PARTN,PT,Y4T6,_T,44.3,,,,,,,,,
2020,SE_PRE_PARTN,PT,Y4T6,_T,37.6,,,,,,,,,
2021,SE_PRE_PARTN,PT,Y4T6,_T,39.3,,,,,,,,,
